location;total_populations;total_infected;total_death_counts
Afghanistan;41128772;225983;7947
Albania;2842318;334090;3604
Algeria;44903228;271852;6881
American Samoa;44295;8341;34
Andorra;79843;48015;159
Angola;35588996;105960;1936
Anguilla;15877;3904;12
Antigua and Barbuda;93772;9106;146
Argentina;45510324;10054576;130472
Armenia;2780472;449528;8751
Aruba;106459;44224;292
Australia;26177410;11600795;23601
Austria;8939617;6081287;22534
Azerbaijan;10358078;832580;10302
Bahamas;409989;38084;844
Bahrain;1472237;696614;1536
Bangladesh;171186368;2045671;29477
Barbados;281646;110023;620
Belarus;9534956;994037;7118
Belgium;11655923;4812396;34339
Belize;405285;70782;688
Benin;13352864;28036;163
Bermuda;64207;18860;165
Bhutan;782457;62697;21
Bolivia;12224114;1208716;22404
Bonaire Sint Eustatius and Saba;27052;11922;41
Bosnia and Herzegovina;3233530;403117;16352
Botswana;2630300;330272;2800
Brazil;215313504;37720419;704659
British Virgin Islands;31332;7305;64
Brunei;449002;311020;163
Bulgaria;6781955;1299930;38403
Burkina Faso;22673764;22056;396
Burundi;12889583;54321;15
Cambodia;16767851;138941;3056
Cameroon;27914542;125090;1974
Canada;38454328;4697504;53147
Cape Verde;593162;64401;415
Cayman Islands;68722;31472;37
Central African Republic;5579148;15367;113
Chad;17723312;7698;194
Chile;19603736;5289235;64497
China;1425887360;99311610;121714
Colombia;51874028;6381318;142977
Comoros;836783;9109;161
Congo;5970430;25196;389
Cook Islands;17032;7158;2
Costa Rica;5180836;1238884;9428
Cote d'Ivoire;28160548;88338;835
Croatia;4030361;1275071;18332
Cuba;11212198;1115103;8530
Curacao;191173;45883;305
Cyprus;896007;660854;1364
Czechia;10493990;4647761;42832
Democratic Republic of Congo;99010216;98830;1468
Denmark;5882259;3416698;8814
Djibouti;1120851;15690;189
Dominica;72758;15760;74
Dominican Republic;11228821;667054;4384
Ecuador;18001002;1069232;36042
Egypt;110990096;516023;24830
El Salvador;6336393;201807;4230
England;56550000;NULL;NULL
Equatorial Guinea;1674916;17130;183
Eritrea;3684041;10189;103
Estonia;1326064;601851;2901
Eswatini;1201680;74882;1427
Ethiopia;123379928;501060;7574
Faeroe Islands;53117;34658;28
Falkland Islands;3801;1923;NULL
Fiji;929769;69047;885
Finland;5540745;1485088;10201
France;67813000;38997490;167985
French Guiana;304568;98041;413
French Polynesia;306292;78632;649
Gabon;2388997;48992;307
