location;total_populations;total_death_counts;cdr;diabetes
United States;338289856;1127152;151089;10,79
Brazil;215313504;704659;177961;8,11
India;1417173120;532031;NULL;10,39
Russia;144713312;400023;431297;6,18
Mexico;127504120;334586;152783;13,06
United Kingdom;67508936;229307;122137;4,28
Peru;34049588;221465;85755;5,95
Italy;59037472;191469;113151;4,78
Germany;83369840;174979;156139;8,31
France;67813000;167985;NULL;4,77
Indonesia;275501344;161918;342864;6,32
Iran;88550568;146386;270308;9,59
Colombia;51874028;142977;NULL;7,44
Argentina;45510324;130472;191032;5,5
Spain;47558632;121852;99403;7,17
China;1425887360;121714;261899;9,74
Poland;39857144;119644;227331;5,91
Ukraine;39701744;109904;539849;7,11
South Africa;59893884;102595;NULL;5,52
Turkey;85341248;101419;171285;12,13
Japan;123951696;74694;NULL;5,72
Romania;19659270;68314;370946;9,74
Philippines;115559008;66685;370437;7,07
Chile;19603736;64497;127993;8,46
Canada;38454328;53147;105599;7,37
Hungary;9967304;48803;278296;7,55
Vietnam;98186856;43206;245465;6
Czechia;10493990;42832;227485;6,82
Bulgaria;6781955;38403;424688;5,81
Greece;10384972;37413;175695;4,55
Malaysia;33938216;37190;260942;16,74
Ecuador;18001002;36042;140448;5,55
South Korea;51815808;35934;85998;6,8
Thailand;71697024;34473;109861;7,04
Belgium;11655923;34339;114898;4,29
Pakistan;235824864;30656;423031;8,35
Bangladesh;171186368;29477;298003;8,38
Tunisia;12356116;29423;318991;8,52
Portugal;10270857;27247;127842;9,85
Iraq;44496124;25375;218612;8,83
Egypt;110990096;24830;525432;17,31
Sweden;10549349;24767;133982;4,79
Australia;26177410;23601;107791;5,07
Netherlands;17564020;22986;109361;5,29
Austria;8939617;22534;145183;6,35
Bolivia;12224114;22404;204299;6,89
Slovakia;5643455;21167;287959;7,29
Guatemala;17843914;20235;155898;10,18
Paraguay;6780745;19970;199128;8,27
Myanmar;54179312;19494;202104;4,61
Kazakhstan;19397998;19072;466792;7,11
Croatia;4030361;18332;253782;5,59
Serbia;6871547;18057;439415;10,08
Georgia;3744385;17132;496218;7,11
Sri Lanka;21832150;16882;197093;10,68
Bosnia and Herzegovina;3233530;16352;329635;10,08
Morocco;37457976;16297;419146;7,14
Jordan;11285875;14122;208257;11,75
Switzerland;8740471;14054;99739;5,59
Israel;9449000;12670;NULL;6,74
Moldova;3272993;12126;408502;5,72
Nepal;30547586;12031;260797;7,26
Honduras;10432858;11127;240208;7,21
Lebanon;5489744;10947;266591;12,71
Azerbaijan;10358078;10302;559812;7,11
Finland;5540745;10201;153507;5,76
North Macedonia;2093606;9941;322688;10,08
Lithuania;2750058;9704;342989;3,67
Saudi Arabia;36408824;9646;259538;17,72
Slovenia;2119843;9435;153493;7,25
Costa Rica;5180836;9428;137973;8,78
Ireland;5023108;9209;126459;3,28
Denmark;5882259;8814;114767;6,41
Armenia;2780472;8751;NULL;7,11
Panama;4408582;8652;128346;8,33
Cuba;11212198;8530;190968;8,27
Afghanistan;41128772;7947;597029;9,59
Uruguay;3422796;7634;160708;6,93
Ethiopia;123379928;7574;182634;7,47
Latvia;1850654;7378;NULL;4,91
Belarus;9534956;7118;443129;5,18
Algeria;44903228;6881;278364;6,73
Libya;6812344;6437;341862;10,43
Puerto Rico;3252412;5938;108094;12,9
Venezuela;28301700;5856;NULL;6,47
Zimbabwe;16320539;5718;307846;1,82
Palestine;5250076;5708;NULL;10,59
Kenya;54027484;5689;218637;2,92
Norway;5434324;5667;114316;5,31
Sudan;46874200;5046;431388;15,67
Oman;4576300;4628;266342;12,61
Trinidad and Tobago;1531043;4390;228467;10,97
Dominican Republic;11228821;4384;266653;8,2
El Salvador;6336393;4230;167295;8,87
Namibia;2567024;4098;243811;3,94
Zambia;20017670;4069;234499;3,94
Uganda;47249588;3632;213333;2,5
Jamaica;2827382;3606;206537;11,28
Albania;2842318;3604;304195;10,08
New Zealand;5185289;3329;128797;8,08
Kosovo;1782115;3210;NULL;NULL
Syria;22125242;3163;376264;NULL
Nigeria;218541216;3155;181013;2,42
Cambodia;16767851;3056;270892;4
Estonia;1326064;2901;255569;4,02
Botswana;2630300;2800;237372;4,81
Malawi;20405318;2686;227349;3,94
Montenegro;627082;2654;387305;10,08
Kuwait;4268886;2570;132235;15,84
United Arab Emirates;9441138;2349;NULL;17,26
Mongolia;3398373;2284;460043;4,82
Mozambique;32969520;2249;329942;3,3
Yemen;33696612;2159;495003;5,35
Cameroon;27914542;1974;244661;7,2
Senegal;17316452;1971;241219;2,42
Angola;35588996;1936;276045;3,94
