location;total_populations;total_infected;infection_rate
Cyprus;896007;660854;73,755
San Marino;33690;24518;72,775
Brunei;449002;311020;69,269
Austria;8939617;6081287;68,026
South Korea;51815808;34571873;66,721
Faeroe Islands;53117;34658;65,248
Slovenia;2119843;1344826;63,44
Gibraltar;32677;20550;62,888
Martinique;367512;230354;62,679
Andorra;79843;48015;60,137
Jersey;110796;66391;59,922
Luxembourg;647601;383398;59,203
Saint Pierre and Miquelon;5885;3426;58,216
Denmark;5882259;3416698;58,085
France;67813000;38997490;57,507
Iceland;372903;208957;56,035
Guernsey;63329;35326;55,782
Portugal;10270857;5610180;54,622
Liechtenstein;39355;21488;54,6
Latvia;1850654;975910;52,733
Greece;10384972;5370810;51,717
Guadeloupe;395762;203235;51,353
Israel;9449000;4837580;51,197
Reunion;974062;494595;50,777
Falkland Islands;3801;1923;50,592
Switzerland;8740471;4412555;50,484
Saint Barthelemy;10994;5507;50,091
Georgia;3744385;1855289;49,549
Netherlands;17564020;8617412;49,063
Lithuania;2750058;1324683;48,169
Seychelles;107135;50937;47,545
Bahrain;1472237;696614;47,317
Monaco;36491;16975;46,518
Germany;83369840;38437756;46,105
New Zealand;5185289;2383066;45,958
Cayman Islands;68722;31472;45,796
Singapore;5637022;2579966;45,768
Niue;1952;887;45,441
Estonia;1326064;601851;45,386
Isle of Man;84534;38008;44,962
Australia;26177410;11600795;44,316
Czechia;10493990;4647761;44,29
Bonaire Sint Eustatius and Saba;27052;11922;44,071
Italy;59037472;26007789;44,053
Nauru;12691;5393;42,495
Cook Islands;17032;7158;42,027
Aruba;106459;44224;41,541
Belgium;11655923;4812396;41,287
Saint Helena;5401;2166;40,104
Montenegro;627082;251133;40,048
Barbados;281646;110023;39,064
Marshall Islands;41593;16133;38,788
Saint Martin (French part);31816;12324;38,735
Puerto Rico;3252412;1252713;38,516
Serbia;6871547;2549375;37,1
United Kingdom;67508936;24715857;36,611
Maldives;523798;186694;35,642
Palau;18084;6235;34,478
Ireland;5023108;1719863;34,239
Slovakia;5643455;1867421;33,09
French Guiana;304568;98041;32,19
Montserrat;4413;1403;31,792
Croatia;4030361;1275071;31,637
Wallis and Futuna;11596;3550;30,614
United States;338289856;103436829;30,576
Uruguay;3422796;1039227;30,362
