location;total_populations;total_death_counts;death_rate
Peru;34049588;221465;0,65
Bulgaria;6781955;38403;0,566
Bosnia and Herzegovina;3233530;16352;0,506
Hungary;9967304;48803;0,49
North Macedonia;2093606;9941;0,475
Georgia;3744385;17132;0,458
Croatia;4030361;18332;0,455
Slovenia;2119843;9435;0,445
Montenegro;627082;2654;0,423
Czechia;10493990;42832;0,408
Latvia;1850654;7378;0,399
Slovakia;5643455;21167;0,375
San Marino;33690;126;0,374
Moldova;3272993;12126;0,37
Greece;10384972;37413;0,36
Lithuania;2750058;9704;0,353
Romania;19659270;68314;0,347
Gibraltar;32677;113;0,346
United Kingdom;67508936;229307;0,34
United States;338289856;1127152;0,333
Chile;19603736;64497;0,329
Brazil;215313504;704659;0,327
Italy;59037472;191469;0,324
Armenia;2780472;8751;0,315
Martinique;367512;1104;0,3
Poland;39857144;119644;0,3
Belgium;11655923;34339;0,295
Paraguay;6780745;19970;0,295
Trinidad and Tobago;1531043;4390;0,287
Argentina;45510324;130472;0,287
Ukraine;39701744;109904;0,277
Colombia;51874028;142977;0,276
Russia;144713312;400023;0,276
Aruba;106459;292;0,274
Portugal;10270857;27247;0,265
Serbia;6871547;18057;0,263
Mexico;127504120;334586;0,262
Guadeloupe;395762;1021;0,258
Bermuda;64207;165;0,257
Spain;47558632;121852;0,256
Austria;8939617;22534;0,252
France;67813000;167985;0,248
Guam;171783;416;0,242
Tunisia;12356116;29423;0,238
Sweden;10549349;24767;0,235
Suriname;618046;1408;0,228
Saint Lucia;179872;409;0,227
Uruguay;3422796;7634;0,223
Liechtenstein;39355;87;0,221
Barbados;281646;620;0,22
Estonia;1326064;2901;0,219
French Polynesia;306292;649;0,212
Germany;83369840;174979;0,21
Sint Maarten (Dutch part);44192;92;0,208
Bahamas;409989;844;0,206
British Virgin Islands;31332;64;0,204
Ecuador;18001002;36042;0,2
Andorra;79843;159;0,199
Lebanon;5489744;10947;0,199
Panama;4408582;8652;0,196
Grenada;125459;238;0,19
Finland;5540745;10201;0,184
Monaco;36491;67;0,184
Ireland;5023108;9209;0,183
Puerto Rico;3252412;5938;0,183
Bolivia;12224114;22404;0,183
Costa Rica;5180836;9428;0,182
Montserrat;4413;8;0,181
Kosovo;1782115;3210;0,18
South Africa;59893884;102595;0,171
Belize;405285;688;0,17
Iran;88550568;146386;0,165
Malta;533293;877;0,164
Switzerland;8740471;14054;0,161
Guyana;808727;1299;0,161
Seychelles;107135;172;0,161
Curacao;191173;305;0,16
Namibia;2567024;4098;0,16
Antigua and Barbuda;93772;146;0,156
Luxembourg;647601;1000;0,154
Cyprus;896007;1364;0,152
Bonaire Sint Eustatius and Saba;27052;41;0,152
Denmark;5882259;8814;0,15
Saint Martin (French part);31816;46;0,145
Jersey;110796;161;0,145
Canada;38454328;53147;0,138
Isle of Man;84534;116;0,137
French Guiana;304568;413;0,136
Israel;9449000;12670;0,134
United States Virgin Islands;99479;132;0,133
Netherlands;17564020;22986;0,131
Jamaica;2827382;3606;0,128
Albania;2842318;3604;0,127
Jordan;11285875;14122;0,125
Turkey;85341248;101419;0,119
Eswatini;1201680;1427;0,119
Saint Vincent and the Grenadines;103959;124;0,119
Guatemala;17843914;20235;0,113
Malaysia;33938216;37190;0,11
Palestine;5250076;5708;0,109
New Caledonia;289959;314;0,108
Honduras;10432858;11127;0,107
Botswana;2630300;2800;0,106
Guernsey;63329;67;0,106
Norway;5434324;5667;0,104
Bahrain;1472237;1536;0,104
Dominica;72758;74;0,102
Oman;4576300;4628;0,101
Azerbaijan;10358078;10302;0,099
Kazakhstan;19397998;19072;0,098
Saint Kitts and Nevis;47681;46;0,096
Reunion;974062;921;0,095
Fiji;929769;885;0,095
Libya;6812344;6437;0,094
Australia;26177410;23601;0,09
Turks and Caicos Islands;45726;39;0,085
Northern Mariana Islands;49574;41;0,083
Mauritius;1299478;1054;0,081
Sri Lanka;21832150;16882;0,077
American Samoa;44295;34;0,077
Cuba;11212198;8530;0,076
Anguilla;15877;12;0,076
Belarus;9534956;7118;0,075
Cape Verde;593162;415;0,07
Wallis and Futuna;11596;8;0,069
South Korea;51815808;35934;0,069
El Salvador;6336393;4230;0,067
Mongolia;3398373;2284;0,067
New Zealand;5185289;3329;0,064
Maldives;523798;316;0,06
Japan;123951696;74694;0,06
Kuwait;4268886;2570;0,06
Indonesia;275501344;161918;0,059
Philippines;115559008;66685;0,058
Mayotte;326113;187;0,057
Iraq;44496124;25375;0,057
Micronesia (country);114178;65;0,057
Cayman Islands;68722;37;0,054
Faeroe Islands;53117;28;0,053
Iceland;372903;186;0,05
Palau;18084;9;0,05
Thailand;71697024;34473;0,048
Saint Barthelemy;10994;5;0,045
Vietnam;98186856;43206;0,044
Morocco;37457976;16297;0,044
Marshall Islands;41593;17;0,041
Dominican Republic;11228821;4384;0,039
Nepal;30547586;12031;0,039
India;1417173120;532031;0,038
