location;total_populations;total_infected;total_death_counts;infection_rate;death_rate;fatality_rate
Yemen;33696612;11945;2159;0,035;0,006;18,075
Sudan;46874200;63993;5046;0,137;0,011;7,885
Syria;22125242;57423;3163;0,26;0,014;5,508
Somalia;17597508;27334;1361;0,155;0,008;4,979
Peru;34049588;4519052;221465;13,272;0,65;4,901
Egypt;110990096;516023;24830;0,465;0,022;4,812
Mexico;127504120;7686132;334586;6,028;0,262;4,353
Bosnia and Herzegovina;3233530;403117;16352;12,467;0,506;4,056
Liberia;5302690;8090;294;0,153;0,006;3,634
Afghanistan;41128772;225983;7947;0,549;0,019;3,517
Ecuador;18001002;1069232;36042;5,94;0,2;3,371
Niger;26207982;9515;315;0,036;0,001;3,311
Myanmar;54179312;641253;19494;1,184;0,036;3,04
Malawi;20405318;88908;2686;0,436;0,013;3,021
Bulgaria;6781955;1299930;38403;19,167;0,566;2,954
Gambia;2705995;12626;372;0,467;0,014;2,946
North Macedonia;2093606;348411;9941;16,642;0,475;2,853
Paraguay;6780745;735887;19970;10,853;0,295;2,714
Tunisia;12356116;1153361;29423;9,334;0,238;2,551
Algeria;44903228;271852;6881;0,605;0,015;2,531
Chad;17723312;7698;194;0,043;0,001;2,52
South Africa;59893884;4072533;102595;6,8;0,171;2,519
Sri Lanka;21832150;672587;16882;3,081;0,077;2,51
Haiti;11585003;34323;860;0,296;0,007;2,506
Namibia;2567024;171998;4098;6,7;0,16;2,383
Indonesia;275501344;6813429;161918;2,473;0,059;2,376
Honduras;10432858;474586;11127;4,549;0,107;2,345
Jamaica;2827382;156293;3606;5,528;0,128;2,307
Trinidad and Tobago;1531043;191496;4390;12,508;0,287;2,292
Mali;22593598;33152;743;0,147;0,003;2,241
Colombia;51874028;6381318;142977;12,302;0,276;2,241
Bahamas;409989;38084;844;9,289;0,206;2,216
Senegal;17316452;89022;1971;0,514;0,011;2,214
Hungary;9967304;2204488;48803;22,117;0,49;2,214
Cambodia;16767851;138941;3056;0,829;0,018;2,199
Zimbabwe;16320539;265748;5718;1,628;0,035;2,152
Uganda;47249588;171843;3632;0,364;0,008;2,114
El Salvador;6336393;201807;4230;3,185;0,067;2,096
Madagascar;29611718;68330;1425;0,231;0,005;2,085
Lesotho;2305826;34490;706;1,496;0,031;2,047
Ukraine;39701744;5518385;109904;13,9;0,277;1,992
Romania;19659270;3440346;68314;17,5;0,347;1,986
Tanzania;65497752;43078;846;0,066;0,001;1,964
Moldova;3272993;621865;12126;19;0,37;1,95
Armenia;2780472;449528;8751;16,167;0,315;1,947
Pakistan;235824864;1580631;30656;0,67;0,013;1,939
Iran;88550568;7616791;146386;8,602;0,165;1,922
Eswatini;1201680;74882;1427;6,231;0,119;1,906
Brazil;215313504;37720419;704659;17,519;0,327;1,868
Bolivia;12224114;1208716;22404;9,888;0,183;1,854
Guinea-Bissau;2105580;9614;177;0,457;0,008;1,841
Poland;39857144;6520928;119644;16,361;0,3;1,835
Angola;35588996;105960;1936;0,298;0,005;1,827
Burkina Faso;22673764;22056;396;0,097;0,002;1,795
Guyana;808727;73387;1299;9,074;0,161;1,77
Comoros;836783;9109;161;1,089;0,019;1,767
Russia;144713312;23014969;400023;15,904;0,276;1,738
Suriname;618046;82588;1408;13,363;0,228;1,705
Kenya;54027484;343955;5689;0,637;0,011;1,654
Sierra Leone;8605723;7766;126;0,09;0,001;1,622
Antigua and Barbuda;93772;9106;146;9,711;0,156;1,603
Philippines;115559008;4173631;66685;3,612;0,058;1,598
Guatemala;17843914;1271180;20235;7,124;0,113;1,592
Cameroon;27914542;125090;1974;0,448;0,007;1,578
Mauritania;4736146;63757;997;1,346;0,021;1,564
Congo;5970430;25196;389;0,422;0,007;1,544
Nicaragua;6948395;16038;245;0,231;0,004;1,528
Ethiopia;123379928;501060;7574;0,406;0,006;1,512
Democratic Republic of Congo;99010216;98830;1468;0,1;0,001;1,485
