location;date;total_populations;daily_infected;cum_daily_infected;daily_death_counts;cum_daily_death_counts
World;2020-01-03 00:00:00.000;7975105024;0;0;0;0
World;2020-01-04 00:00:00.000;7975105024;3;3;0;0
World;2020-01-05 00:00:00.000;7975105024;0;3;3;3
World;2020-01-06 00:00:00.000;7975105024;3;6;0;3
World;2020-01-07 00:00:00.000;7975105024;0;6;0;3
World;2020-01-08 00:00:00.000;7975105024;1;7;0;3
World;2020-01-09 00:00:00.000;7975105024;0;7;0;3
World;2020-01-10 00:00:00.000;7975105024;0;7;0;3
World;2020-01-11 00:00:00.000;7975105024;0;7;0;3
World;2020-01-12 00:00:00.000;7975105024;41;48;1;4
World;2020-01-13 00:00:00.000;7975105024;1;49;0;4
World;2020-01-14 00:00:00.000;7975105024;5;54;0;4
World;2020-01-15 00:00:00.000;7975105024;0;54;0;4
World;2020-01-16 00:00:00.000;7975105024;0;54;0;4
World;2020-01-17 00:00:00.000;7975105024;4;58;1;5
World;2020-01-18 00:00:00.000;7975105024;4;62;0;5
World;2020-01-19 00:00:00.000;7975105024;79;141;1;6
World;2020-01-20 00:00:00.000;7975105024;78;219;1;7
World;2020-01-21 00:00:00.000;7975105024;93;312;2;9
World;2020-01-22 00:00:00.000;7975105024;148;460;11;20
World;2020-01-23 00:00:00.000;7975105024;133;593;1;21
World;2020-01-24 00:00:00.000;7975105024;271;864;8;29
World;2020-01-25 00:00:00.000;7975105024;473;1337;16;45
World;2020-01-26 00:00:00.000;7975105024;705;2042;17;62
World;2020-01-27 00:00:00.000;7975105024;790;2832;26;88
World;2020-01-28 00:00:00.000;7975105024;1779;4611;49;137
World;2020-01-29 00:00:00.000;7975105024;1477;6088;2;139
World;2020-01-30 00:00:00.000;7975105024;1754;7842;38;177
World;2020-01-31 00:00:00.000;7975105024;2015;9857;42;219
World;2020-02-01 00:00:00.000;7975105024;2113;11970;47;266
World;2020-02-02 00:00:00.000;7975105024;2621;14591;106;372
World;2020-02-03 00:00:00.000;7975105024;2836;17427;64;436
World;2020-02-04 00:00:00.000;7975105024;3253;20680;67;503
World;2020-02-05 00:00:00.000;7975105024;3936;24616;72;575
World;2020-02-06 00:00:00.000;7975105024;3716;28332;70;645
World;2020-02-07 00:00:00.000;7975105024;3159;31491;85;730
World;2020-02-08 00:00:00.000;7975105024;3397;34888;87;817
World;2020-02-09 00:00:00.000;7975105024;2699;37587;100;917
World;2020-02-10 00:00:00.000;7975105024;2993;40580;107;1024
World;2020-02-11 00:00:00.000;7975105024;2482;43062;100;1124
World;2020-02-12 00:00:00.000;7975105024;2034;45096;5;1129
World;2020-02-13 00:00:00.000;7975105024;15168;60264;253;1382
World;2020-02-14 00:00:00.000;7975105024;4068;64332;152;1534
World;2020-02-15 00:00:00.000;7975105024;2662;66994;142;1676
World;2020-02-16 00:00:00.000;7975105024;2045;69039;105;1781
World;2020-02-17 00:00:00.000;7975105024;2062;71101;98;1879
World;2020-02-18 00:00:00.000;7975105024;1908;73009;139;2018
World;2020-02-19 00:00:00.000;7975105024;1799;74808;113;2131
World;2020-02-20 00:00:00.000;7975105024;422;75230;123;2254
World;2020-02-21 00:00:00.000;7975105024;996;76226;2;2256
World;2020-02-22 00:00:00.000;7975105024;1067;77293;209;2465
World;2020-02-23 00:00:00.000;7975105024;991;78284;6;2471
World;2020-02-24 00:00:00.000;7975105024;516;78800;159;2630
World;2020-02-25 00:00:00.000;7975105024;786;79586;79;2709
World;2020-02-26 00:00:00.000;7975105024;855;80441;62;2771
World;2020-02-27 00:00:00.000;7975105024;1093;81534;38;2809
World;2020-02-28 00:00:00.000;7975105024;1201;82735;57;2866
World;2020-02-29 00:00:00.000;7975105024;1816;84551;64;2930
World;2020-03-01 00:00:00.000;7975105024;2005;86556;56;2986
World;2020-03-02 00:00:00.000;7975105024;1942;88498;67;3053
World;2020-03-03 00:00:00.000;7975105024;1798;90296;68;3121
World;2020-03-04 00:00:00.000;7975105024;2216;92512;87;3208
World;2020-03-05 00:00:00.000;7975105024;2162;94674;87;3295
World;2020-03-06 00:00:00.000;7975105024;2487;97161;100;3395
World;2020-03-07 00:00:00.000;7975105024;3257;100418;102;3497
World;2020-03-08 00:00:00.000;7975105024;6354;106772;138;3635
World;2020-03-09 00:00:00.000;7975105024;3272;110044;222;3857
World;2020-03-10 00:00:00.000;7975105024;3859;113903;174;4031
World;2020-03-11 00:00:00.000;7975105024;3928;117831;269;4300
World;2020-03-12 00:00:00.000;7975105024;6008;123839;305;4605
World;2020-03-13 00:00:00.000;7975105024;6748;130587;320;4925
World;2020-03-14 00:00:00.000;7975105024;7319;137906;400;5325
World;2020-03-15 00:00:00.000;7975105024;29312;167218;964;6289
World;2020-03-16 00:00:00.000;7975105024;8565;175783;564;6853
World;2020-03-17 00:00:00.000;7975105024;10355;186138;587;7440
World;2020-03-18 00:00:00.000;7975105024;11532;197670;638;8078
World;2020-03-19 00:00:00.000;7975105024;14178;211848;792;8870
World;2020-03-20 00:00:00.000;7975105024;17041;228889;823;9693
World;2020-03-21 00:00:00.000;7975105024;20499;249388;1062;10755
World;2020-03-22 00:00:00.000;7975105024;89154;338542;5231;15986
World;2020-03-23 00:00:00.000;7975105024;22462;361004;1193;17179
World;2020-03-24 00:00:00.000;7975105024;26550;387554;1237;18416
World;2020-03-25 00:00:00.000;7975105024;30019;417573;1494;19910
World;2020-03-26 00:00:00.000;7975105024;31299;448872;1599;21509
World;2020-03-27 00:00:00.000;7975105024;38012;486884;1830;23339
World;2020-03-28 00:00:00.000;7975105024;44667;531551;2259;25598
World;2020-03-29 00:00:00.000;7975105024;158478;690029;12671;38269
World;2020-03-30 00:00:00.000;7975105024;43212;733241;2421;40690
World;2020-03-31 00:00:00.000;7975105024;49031;782272;2901;43591
World;2020-04-01 00:00:00.000;7975105024;43914;826186;3026;46617
World;2020-04-02 00:00:00.000;7975105024;52044;878230;3421;50038
World;2020-04-03 00:00:00.000;7975105024;58927;937157;3795;53833
World;2020-04-04 00:00:00.000;7975105024;60801;997958;4131;57964
World;2020-04-05 00:00:00.000;7975105024;158463;1156421;17151;75115
World;2020-04-06 00:00:00.000;7975105024;59795;1216216;4401;79516
World;2020-04-07 00:00:00.000;7975105024;54684;1270900;4878;84394
World;2020-04-08 00:00:00.000;7975105024;60420;1331320;4726;89120
World;2020-04-09 00:00:00.000;7975105024;63611;1394931;5291;94411
World;2020-04-10 00:00:00.000;7975105024;69661;1464592;5704;100115
World;2020-04-11 00:00:00.000;7975105024;72726;1537318;5609;105724
World;2020-04-12 00:00:00.000;7975105024;143460;1680778;17072;122796
World;2020-04-13 00:00:00.000;7975105024;64320;1745098;5502;128298
World;2020-04-14 00:00:00.000;7975105024;57675;1802773;5210;133508
World;2020-04-15 00:00:00.000;7975105024;57173;1859946;5377;138885
World;2020-04-16 00:00:00.000;7975105024;62512;1922458;5867;144752
World;2020-04-17 00:00:00.000;7975105024;67068;1989526;6215;150967
World;2020-04-18 00:00:00.000;7975105024;74007;2063533;7316;158283
World;2020-04-19 00:00:00.000;7975105024;124277;2187810;14470;172753
World;2020-04-20 00:00:00.000;7975105024;66401;2254211;5088;177841
World;2020-04-21 00:00:00.000;7975105024;64646;2318857;5182;183023
World;2020-04-22 00:00:00.000;7975105024;65295;2384152;5467;188490
